Data ,,,,,,,,,
,,,,,,,,,
"Every combination are attributed 9 lines. Line 1 is 100% the indicated defect, the the fraction changes to 100% the defect in the 9th line trough the fractions 12.5%, 25%, 37.5%, 50%, 62.5%, 75%, and 87.5%",,,,,,,,,
,,,,,,,,,
Et range,0,1.125,eV,,,,,,
k range,0.001,1000,-,,,,,,
tau_p0 range,1E-13,0.001,s,,,,,,
,,,,,,,,,
points Et,point k,points tau_p0,,,,,,,
200,200,700,,,,,,,
,,,,,,,,,
,Defect 1,Defect 2,Max_Et,Min_Et,Max_k,Min_k,Min ARV,Et,k
203,DefectX,PtI,0.638819095,0.491834171,1.189534067,0.840665289,0.430963922,0.565326633,0.965883224
204,PtI,DefectX,0.644472362,0.486180905,1.189534067,0.840665289,0.483829003,0.582286432,0.965883224
205,PtI,DefectX,0.650125628,0.474874372,1.189534067,0.784282206,0.868009338,0.604899497,0.965883224
206,PtI,DefectX,0.667085427,0.463567839,1.189534067,0.731680714,2.151821774,0.627512563,0.965883224
207,PtI,,0.322236181,0.316582915,0.318062569,0.001,1.770621057,0.322236181,0.001867914
208,DefectX,,0.638819095,0.491834171,1.189534067,0.840665289,0.554254017,0.565326633,1.035321843
209,DefectX,PtII,0.667085427,0.457914573,1.275051241,0.784282206,3.312950324,0.621859296,1.035321843
210,DefectX,PtII,0.695351759,0.440954774,1.464971398,0.517092024,7.600371751,0.655778894,1.035321843
211,DefectX,PtII,0.717964824,0.423994975,1.366716356,0.419870708,12.32507536,0.684045226,1.035321843
212,DefectX,PtII,0.740577889,0.412688442,1.366716356,0.318062569,16.87571215,0.712311558,0.731680714
213,PtII,DefectX,1.01758794,0.395728643,1.275051241,0.001,22.38261937,0.734924623,0.682607183
214,PtII,DefectX,1.051507538,0.791457286,0.276828663,0.001,25.2744386,0.978015075,0.003255089
215,PtII,DefectX,0.084798995,0.067839196,932.9304026,706.7181274,18.36149186,0.073492462,1000
216,PtII,,0.887562814,0.248743719,1.275051241,0.784282206,1.10933105,0.876256281,1.189534067
217,DefectX,,0.638819095,0.491834171,1.189534067,0.840665289,0.554254017,0.565326633,1.035321843
218,DefectX,Ti,0.701005025,0.418341709,2.07292178,1.035321843,12.76764837,0.684045226,1.275051241
219,DefectX,Ti,0.72361809,0.384422111,2.736439997,1.109752496,21.57679917,0.40138191,1.570290125
220,DefectX,Ti,0.740577889,0.361809045,3.872038782,1.366716356,27.92377702,0.378768844,1.804186409
221,DefectX,Ti,0.130025126,0.096105528,932.9304026,811.9844993,27.1058952,0.113065327,1000
222,Ti,DefectX,0.113065327,0.096105528,932.9304026,615.0985789,20.90308002,0.101758794,932.9304026
223,Ti,DefectX,0.146984925,0.113065327,615.0985789,164.4676178,21.39152245,0.135678392,249.4508135
224,Ti,DefectX,0.203517588,0.158291457,101.163798,20.4907469,19.2232551,0.180904523,43.97603609
225,Ti,,0.84798995,0.836683417,31.07866188,14.48118228,0.864182313,0.842336683,17.83430877
226,DefectX,,0.638819095,0.491834171,1.189534067,0.840665289,0.554254017,0.565326633,1.035321843
227,DefectX,Zn,0.655778894,0.469221106,1.189534067,0.784282206,1.119326886,0.61620603,0.965883224
228,DefectX,Zn,0.67839196,0.452261307,1.189534067,0.731680714,2.660085149,0.638819095,0.965883224
229,DefectX,Zn,0.695351759,0.440954774,1.275051241,0.554266452,4.60154877,0.661432161,0.965883224
230,DefectX,Zn,0.712311558,0.429648241,1.189534067,0.554266452,6.075621439,0.689698492,0.731680714
231,Zn,DefectX,0.729271357,0.412688442,1.109752496,0.450055768,8.400181263,0.712311558,0.682607183
232,Zn,DefectX,0.757537688,0.395728643,1.035321843,0.340928507,10.7001504,0.729271357,0.731680714
233,Zn,DefectX,0.949748744,0.373115578,0.901101825,0.005291979,12.05160617,0.774497487,0.517092024
234,Zn,,0.333542714,0.327889447,0.636824994,0.148202071,1.757902789,0.327889447,0.340928507
235,Mo,,0.282663317,0.260050251,50.52631065,27.0495973,1.313277677,0.27701005,33.31294788
236,Mo,PtI,0.288316583,0.271356784,41.02658106,23.54286414,1.182136748,0.27701005,33.31294788
237,Mo,PtI,0.288316583,0.271356784,41.02658106,23.54286414,1.212584564,0.27701005,33.31294788
238,Mo,PtI,0.288316583,0.271356784,41.02658106,23.54286414,1.256547873,0.27701005,33.31294788
239,Mo,PtI,0.288316583,0.271356784,38.27494479,23.54286414,1.317744396,0.27701005,33.31294788
